Time,X,Y
10μs,1,0
10μs,2,0
10μs,5,0
10μs,10,0
10μs,20,0
10μs,50,0
10μs,100,0
10μs,150,0
10μs,200,0
10μs,250,0
10μs,300,0
10μs,350,0
10μs,400,0
10μs,450,0
10μs,500,0
20μs,1,0
20μs,2,0
20μs,5,0
20μs,10,0
20μs,20,0
20μs,50,0
20μs,100,0
20μs,150,0
20μs,200,0
20μs,250,0
20μs,300,0
20μs,350,0
20μs,400,0
20μs,450,11.1111111111111
20μs,500,20
50μs,1,0
50μs,2,0
50μs,5,0
50μs,10,0
50μs,20,0
50μs,50,0
50μs,100,0
50μs,150,0
50μs,200,20
50μs,250,36
50μs,300,46.6666666666667
50μs,350,54.2857142857143
50μs,400,60
50μs,450,64.4444444444444
50μs,500,68
0.1ms,1,0
0.1ms,2,0
0.1ms,5,0
0.1ms,10,0
0.1ms,20,0
0.1ms,50,0
0.1ms,100,20
0.1ms,150,46.6666666666667
0.1ms,200,60
0.1ms,250,68
0.1ms,300,73.3333333333333
0.1ms,350,77.1428571428571
0.1ms,400,80
0.1ms,450,82.2222222222222
0.1ms,500,84
0.5ms,1,0
0.5ms,2,0
0.5ms,5,0
0.5ms,10,0
0.5ms,20,20
0.5ms,50,68
0.5ms,100,84
0.5ms,150,89.3333333333333
0.5ms,200,92
0.5ms,250,93.6
0.5ms,300,94.6666666666667
0.5ms,350,95.4285714285714
0.5ms,400,96
0.5ms,450,96.4444444444444
0.5ms,500,96.8
1ms,1,0
1ms,2,0
1ms,5,0
1ms,10,20
1ms,20,60
1ms,50,84
1ms,100,92
1ms,150,94.6666666666667
1ms,200,96
1ms,250,96.8
1ms,300,97.3333333333333
1ms,350,97.7142857142857
1ms,400,98
1ms,450,98.2222222222222
1ms,500,98.4
3ms,1,0
3ms,2,0
3ms,5,46.6666666666666
3ms,10,73.3333333333333
3ms,20,86.6666666666667
3ms,50,94.6666666666667
3ms,100,97.3333333333333
3ms,150,98.2222222222222
3ms,200,98.6666666666667
3ms,250,98.9333333333333
3ms,300,99.1111111111111
3ms,350,99.2380952380952
3ms,400,99.3333333333333
3ms,450,99.4074074074074
3ms,500,99.4666666666667
4ms,1,0
4ms,2,0
4ms,5,60
4ms,10,80
4ms,20,90
4ms,50,96
4ms,100,98
4ms,150,98.6666666666667
4ms,200,99
4ms,250,99.2
4ms,300,99.3333333333333
4ms,350,99.4285714285714
4ms,400,99.5
4ms,450,99.5555555555556
4ms,500,99.6